"carat","cut","color","clarity","depth","table","price","x","y","z"
2.04,"Premium","G","SI2",61.8,56,16426,8.13,8.05,5
2.51,"Premium","J","SI2",59.3,58,16427,8.87,8.83,5.25
2.05,"Premium","H","SI2",62.5,58,16431,8.12,8.08,5.06
2.06,"Premium","G","SI2",61.8,58,16437,8.1,8.15,5.02
2.17,"Premium","D","SI2",62.2,59,16472,8.28,8.34,5.17
2.1,"Premium","H","SI2",60.4,59,16479,8.28,8.33,5.02
2.03,"Premium","I","VS2",60.5,62,16483,8.22,8.17,4.96
2,"Premium","D","SI2",60.8,60,16484,8.15,8.1,4.94
2.01,"Premium","I","SI1",61.5,60,16499,8.12,8.01,4.96
2.01,"Premium","H","SI2",61.6,58,16499,8.12,8.02,4.97
2.05,"Premium","G","SI2",60.1,59,16506,8.3,8.2,4.96
2.47,"Premium","J","SI2",59.4,59,16532,8.85,8.79,5.24
2,"Premium","I","VS2",60.7,60,16544,8.02,8.07,4.88
2.28,"Premium","J","VS2",62.9,58,16564,8.42,8.34,5.27
2.06,"Premium","G","SI2",61.8,58,16587,8.15,8.1,5.02
2.05,"Premium","I","SI1",60.6,58,16611,8.22,8.13,4.95
2.01,"Premium","I","VS2",60.5,60,16626,8.15,8.17,4.94
2.1,"Premium","H","SI2",60.4,59,16629,8.33,8.28,5.02
2.03,"Premium","E","SI1",62.9,57,16629,8.04,7.98,5.04
2.38,"Premium","H","SI1",58.2,60,16643,8.81,8.78,5.12
2.24,"Premium","H","SI2",61.4,57,16656,8.43,8.35,5.15
2.21,"Premium","F","SI2",59.6,60,16657,8.53,8.49,5.07
2.39,"Premium","H","SI1",60.6,58,16687,8.65,8.58,5.22
2,"Premium","I","VS2",60.7,60,16694,8.07,8.02,4.88
2.01,"Premium","I","VS2",61.7,60,16700,8.09,8.02,4.97
2.02,"Premium","I","VS2",59.6,60,16709,8.2,8.25,4.9
2.48,"Premium","I","SI1",61,60,16715,8.68,8.61,5.27
2.14,"Premium","H","SI2",62,60,16723,8.27,8.19,5.1
2.01,"Premium","H","SI1",60.6,62,16733,8.08,8.05,4.89
2.01,"Premium","H","SI1",60.9,59,16733,8.15,8.04,4.93
2.01,"Premium","H","SI1",61.5,53,16733,8.13,8.03,4.97
2.01,"Premium","G","SI2",59,60,16733,8.31,8.26,4.89
2.03,"Premium","H","SI1",61.7,59,16747,8.1,8.17,5.02
2.04,"Premium","I","VS2",61,61,16768,8.14,8.08,4.95
2.01,"Premium","D","SI2",62.7,58,16776,8.06,7.99,5.03
2.13,"Premium","G","SI2",60.7,60,16778,8.27,8.37,5.05
2.01,"Premium","I","VS2",62.8,58,16778,8.01,7.94,5.01
2.01,"Premium","I","VS2",62.7,58,16778,7.98,7.94,4.99
2.01,"Premium","I","VS2",59.2,62,16778,8.17,8.14,4.83
2.01,"Premium","I","VS2",62.6,59,16778,8.04,8.01,5.02
2.01,"Premium","I","VS2",61,61,16778,8.15,7.99,4.92
2.01,"Premium","I","VS2",60.5,60,16778,8.17,8.15,4.94
2.1,"Premium","E","SI2",62.9,59,16783,8.18,8.13,5.13
2.03,"Premium","I","SI1",61.2,58,16787,8.21,8.16,5.01
2.4,"Premium","F","SI2",62.6,59,16797,8.53,8.49,5.33
2.21,"Premium","F","SI1",62.1,59,16804,8.33,8.26,5.15
2.23,"Premium","G","SI2",61.4,58,16805,8.41,8.32,5.14
2.48,"Premium","I","VS2",60.1,58,16820,8.83,8.76,5.29
2.08,"Premium","G","VS2",61.3,58,16854,8.21,8.17,5.02
2.06,"Premium","F","SI2",61.7,59,16857,8.21,8.13,5.04
2.02,"Premium","I","VS2",59.6,60,16861,8.25,8.2,4.9
2.04,"Premium","D","SI2",61.8,60,16872,8.09,8.13,5.01
2.01,"Premium","F","SI2",60.3,60,16881,8.11,8.08,4.88
2.01,"Premium","F","SI2",61.3,61,16881,8.11,8.01,4.94
2.05,"Premium","I","VS2",60.8,58,16896,8.26,8.19,5
2.03,"Premium","H","SI1",61.7,59,16900,8.17,8.1,5.02
2.02,"Premium","G","SI2",61.3,56,16929,8.22,8.16,5.02
2.13,"Premium","G","SI2",60.7,60,16931,8.37,8.27,5.05
2.53,"Premium","J","SI2",62.6,57,16934,8.77,8.67,5.46
2.04,"Premium","I","SI1",62.2,57,16942,8.14,8.07,5.04
2.02,"Premium","G","SI2",60.1,59,16944,8.21,8.29,4.96
2.28,"Premium","H","SI2",61.9,61,16954,8.42,8.32,5.18
2.01,"Premium","H","SI1",58.5,58,16956,8.3,8.25,4.84
2.07,"Premium","E","SI1",61.2,58,16957,8.24,8.19,5.03
3,"Premium","I","SI2",60.7,59,16970,9.3,9.14,5.6
2.02,"Premium","H","SI1",62.1,61,16985,8.06,7.99,4.98
2.12,"Premium","H","SI2",59.1,59,16992,8.47,8.43,4.99
2.27,"Premium","J","VS1",62.4,58,16994,8.36,8.41,5.23
2.2,"Premium","H","SI2",61.1,59,16996,8.41,8.35,5.12
2.31,"Premium","I","SI2",58.8,58,17000,8.7,8.64,5.1
2.09,"Premium","H","SI2",62.1,58,17001,8.17,8.22,5.09
2.06,"Premium","G","SI2",61.7,58,17012,8.2,8.15,5.04
2.01,"Premium","G","SI2",59.9,62,17014,8.15,8.04,4.85
2.19,"Premium","H","SI1",61.6,58,17016,8.35,8.3,5.13
2.04,"Premium","I","VS2",62.5,58,17028,8.22,8.09,5.1
2.14,"Premium","I","VS2",60.7,59,17038,8.28,8.33,5.04
2.13,"Premium","F","SI2",61.5,58,17045,8.28,8.33,5.11
2.32,"Premium","J","VS2",62.4,57,17053,8.48,8.4,5.27
2.01,"Premium","G","VS2",60.6,59,17057,8.16,8.12,4.93
2.05,"Premium","E","SI2",58.6,59,17066,8.43,8.36,4.92
2.01,"Premium","I","VS1",62.9,62,17068,8.02,7.98,5.03
2.01,"Premium","H","VS2",60.1,61,17068,8.14,8.06,4.87
2.13,"Premium","H","SI2",62.3,57,17073,8.24,8.16,5.11
2.05,"Premium","E","SI2",59.7,59,17081,8.27,8.39,4.97
2.02,"Premium","G","SI2",60.1,59,17099,8.29,8.21,4.96
2.57,"Premium","E","SI2",61.3,60,17116,8.82,8.73,5.38
2.14,"Premium","D","SI2",59.8,59,17127,8.4,8.36,5.01
2,"Premium","G","SI2",60.4,61,17136,8.21,8.12,4.93
2.71,"Premium","E","SI2",60.4,59,17146,9.13,9.03,5.48
2.27,"Premium","J","VS1",62.4,58,17149,8.41,8.36,5.23
2.02,"Premium","I","VS1",61.2,59,17153,8.13,8.05,4.95
2.09,"Premium","H","SI2",62.1,58,17156,8.22,8.17,5.09
2.02,"Premium","H","SI2",61.5,58,17166,8.14,8.1,4.99
2.42,"Premium","J","VS2",61.3,59,17168,8.61,8.58,5.27
2.42,"Premium","J","VS2",61.3,59,17168,8.61,8.58,5.27
2,"Premium","F","SI1",58.8,61,17172,8.29,8.23,4.86
2.01,"Premium","E","SI2",58.9,60,17179,8.24,8.2,4.84
2.01,"Premium","E","SI2",62,61,17179,8.1,8.04,5
2.56,"Premium","J","SI1",61.4,58,17186,8.76,8.73,5.37
2.01,"Premium","H","VS2",61.6,61,17191,8.14,8.07,4.99
2.14,"Premium","I","VS2",60.7,59,17193,8.33,8.28,5.04
2.6,"Premium","J","SI2",58.3,61,17209,9.05,8.94,5.24
2.31,"Premium","I","SI2",62.9,58,17218,8.43,8.34,5.27
2.15,"Premium","H","SI2",62.8,58,17221,8.22,8.17,5.15
2.25,"Premium","H","SI1",61.5,61,17233,8.47,8.41,5.19
2.01,"Premium","D","SI2",61.8,59,17235,8.15,8.07,5.01
2.01,"Premium","H","SI1",62.3,58,17235,8.04,7.99,4.99
2.05,"Premium","E","SI2",59.7,59,17237,8.39,8.27,4.97
2.12,"Premium","I","VS2",61.5,58,17254,8.3,8.26,5.09
2.08,"Premium","H","VS2",62,58,17258,8.19,8.1,5.05
2.42,"Premium","I","VS1",59.8,59,17262,8.8,8.78,5.26
2.02,"Premium","H","SI1",62.1,61,17265,8.06,7.99,4.98
2.2,"Premium","H","SI1",61.2,59,17265,8.42,8.37,0
2,"Premium","I","VS1",61.1,58,17278,8.08,8.11,4.95
2.05,"Premium","E","SI2",62.5,56,17294,8.17,8.08,5.08
2.35,"Premium","I","SI2",59.9,58,17294,8.68,8.61,5.18
2.35,"Premium","I","SI2",61.1,58,17294,8.63,8.56,5.25
2.16,"Premium","I","SI1",62.9,55,17313,8.28,8.2,5.18
2.01,"Premium","G","SI1",62.5,58,17334,7.98,8.08,5.02
2.01,"Premium","H","SI1",61.8,58,17347,8.13,8.06,5
2.04,"Premium","E","SI2",58.3,58,17379,8.35,8.31,4.86
2.03,"Premium","G","SI2",60.1,60,17393,8.27,8.2,4.95
2.01,"Premium","G","SI2",60.1,60,17403,8.25,8.18,4.94
2.14,"Premium","I","VS2",62.3,58,17416,8.22,8.16,5.1
2.01,"Premium","I","VS2",61.1,60,17433,8.06,8.12,4.94
2,"Premium","I","VS1",61.1,58,17436,8.11,8.08,4.95
2.31,"Premium","J","VS1",62.3,61,17451,8.55,8.43,5.29
2.51,"Premium","J","SI1",59.6,60,17452,8.84,8.79,5.25
2.01,"Premium","H","SI1",59.6,59,17458,8.27,8.19,4.9
2.18,"Premium","H","SI2",59.1,60,17473,8.49,8.45,5.01
2.01,"Premium","I","SI1",60.2,59,17474,8.18,8.12,4.91
2.02,"Premium","H","SI1",61.1,60,17489,8.19,8.11,4.98
2.14,"Premium","G","SI2",60.4,59,17513,8.32,8.38,5.04
2.05,"Premium","H","SI1",60.2,58,17521,8.25,8.22,4.96
2.52,"Premium","H","SI2",62.4,57,17522,8.72,8.66,5.43
2.21,"Premium","G","SI2",62.4,60,17525,8.34,8.29,5.19
2.29,"Premium","H","VS2",61.6,60,17539,8.45,8.43,5.2
2.19,"Premium","H","SI2",61.7,58,17554,8.38,8.28,5.14
2,"Premium","I","VS2",62.5,57,17574,8.01,7.92,4.98
2.02,"Premium","G","SI1",61.8,58,17579,8.16,8.1,4.94
2.53,"Premium","H","SI2",59.6,59,17591,8.9,8.82,5.29
2.01,"Premium","I","VS2",61.1,60,17592,8.12,8.06,4.94
2.1,"Premium","J","VVS1",61.3,58,17606,8.29,8.24,5.07
2.48,"Premium","I","SI2",63,62,17607,8.62,8.58,5.42
2.08,"Premium","H","SI1",62.6,59,17617,8.1,8.13,5.08
2.2,"Premium","H","SI2",62.7,58,17634,8.33,8.27,5.2
2.05,"Premium","I","VS1",60.6,60,17640,8.21,8.18,4.97
2.39,"Premium","I","VS1",61.2,60,17642,8.63,8.6,5.27
2.06,"Premium","G","SI2",62.7,58,17650,8.12,8.09,5.08
2.29,"Premium","H","SI2",62.5,58,17666,8.43,8.37,5.25
2.28,"Premium","I","SI1",61.6,58,17673,8.43,8.46,5.2
2.14,"Premium","G","SI2",60.4,59,17673,8.38,8.32,5.04
2,"Premium","D","SI2",61.6,59,17674,8.09,8.2,5.02
2.01,"Premium","H","SI1",62.7,59,17688,8.03,8.08,5.05
2.02,"Premium","G","SI1",62.8,60,17692,8.02,7.96,5.02
2.21,"Premium","I","SI1",61.1,59,17714,8.42,8.37,5.13
2,"Premium","I","VS2",61.8,56,17716,8.11,8.04,4.99
2.14,"Premium","F","SI2",58.2,61,17742,8.5,8.45,4.93
2.01,"Premium","F","SI2",61.3,61,17746,8.02,7.96,4.9
2,"Premium","E","SI2",62.2,56,17760,8.14,8.06,5.04
2,"Premium","H","SI1",62.6,56,17760,8.01,7.96,5
2.05,"Premium","D","SI1",60.4,58,17776,8.26,8.16,4.96
2.08,"Premium","H","SI1",62.6,59,17778,8.13,8.1,5.08
2.03,"Premium","F","SI1",61.3,59,17803,8.15,8.22,5.02
2.09,"Premium","H","SI2",60.6,59,17805,8.27,8.22,5
2.11,"Premium","G","SI1",61.6,59,17816,8.24,8.19,5.06
2.02,"Premium","E","SI2",59.8,58,17825,8.2,8.16,4.89
2.01,"Premium","I","VS2",60.3,58,17826,8.22,8.16,4.94
2,"Premium","D","SI2",61.6,59,17835,8.2,8.09,5.02
2.09,"Premium","F","SI2",61.7,59,17840,8.21,8.23,5.07
2.18,"Premium","G","SI2",61.9,60,17841,8.24,8.29,5.12
2.01,"Premium","H","SI1",62.7,59,17849,8.08,8.03,5.05
2.01,"Premium","H","SI1",61.1,60,17849,8.15,8.11,4.97
2.01,"Premium","H","SI1",61.3,59,17849,8.16,8.08,4.98
2.16,"Premium","J","VVS1",61.5,58,17891,8.36,8.26,5.11
2.28,"Premium","H","SI2",62.1,59,17892,8.4,8.44,5.23
2.02,"Premium","I","VS2",59,59,17893,8.34,8.27,4.9
2.2,"Premium","I","VS2",58.9,60,17905,8.63,8.52,5.05
2.57,"Premium","D","SI2",58.9,58,17924,8.99,8.94,5.28
2.16,"Premium","I","SI1",58.5,60,17934,8.54,8.49,4.98
2.02,"Premium","E","SI2",58.2,60,17938,8.32,8.25,4.82
2.03,"Premium","H","VS2",62.6,59,17975,8.06,8.1,5.06
2.01,"Premium","G","VS2",61.4,58,17987,8.11,7.99,4.94
2.05,"Premium","G","SI2",58.7,60,17988,8.4,8.32,4.91
2.35,"Premium","H","SI1",62.6,60,17999,8.42,8.38,5.26
2.09,"Premium","F","SI2",61.7,59,18002,8.23,8.21,5.07
2.18,"Premium","G","SI2",61.9,60,18003,8.29,8.24,5.12
2.25,"Premium","D","SI2",60.4,59,18007,8.54,8.48,5.13
2.51,"Premium","J","VS2",62.2,58,18020,8.73,8.67,5.41
2.32,"Premium","I","SI1",61.2,58,18026,8.57,8.52,5.23
2.11,"Premium","E","SI2",62.4,61,18034,8.19,8.1,5.08
2.25,"Premium","I","SI1",60.1,60,18034,8.55,8.51,5.13
2.25,"Premium","H","SI2",62.8,59,18034,0,0,0
2.28,"Premium","H","SI2",62.1,59,18055,8.44,8.4,5.23
2.04,"Premium","F","SI2",60.2,58,18066,8.17,8.24,4.94
2.01,"Premium","G","SI1",61.8,60,18077,7.99,8.04,4.95
2.04,"Premium","H","VS1",60.7,61,18104,8.18,8.1,4.94
2.04,"Premium","H","SI1",62.5,61,18115,8.08,8.04,5.04
2.04,"Premium","H","SI1",63,58,18115,8.1,8.03,5.08
2.02,"Premium","E","SI2",61,59,18117,8.18,8.12,4.97
2.12,"Premium","E","SI2",58.3,59,18120,8.48,8.41,4.92
2.03,"Premium","H","VS2",62.6,59,18139,8.1,8.06,5.06
2.03,"Premium","H","VS2",62.1,56,18139,8.2,8.12,5.07
2.23,"Premium","I","VS2",61.2,58,18149,8.43,8.36,5.14
2.12,"Premium","G","SI2",62.6,59,18164,8.18,8.12,5.1
2.03,"Premium","G","VS2",60.9,59,18166,8.17,8.14,4.97
2.52,"Premium","F","SI2",60.6,60,18179,8.78,8.7,5.3
2.01,"Premium","H","SI1",61.7,60,18188,8.06,7.96,4.94
2.07,"Premium","I","VS2",61.2,58,18193,8.18,8.2,5.01
2.2,"Premium","G","SI1",60.5,55,18193,8.49,8.42,5.11
2.01,"Premium","I","VS1",62.9,59,18206,8.03,7.94,5.02
2.02,"Premium","H","VS2",60.8,62,18207,8.17,8.12,4.95
2.02,"Premium","H","VS2",62.7,53,18207,8.02,7.95,0
2.04,"Premium","F","SI2",60.2,58,18231,8.24,8.17,4.94
2.19,"Premium","E","SI2",62.4,61,18232,8.31,8.23,5.16
2.3,"Premium","I","VS2",61.8,60,18239,8.47,8.39,5.21
3.01,"Premium","I","SI2",60.2,59,18242,9.36,9.31,5.62
2.52,"Premium","I","SI1",58.5,59,18252,8.9,8.87,5.2
2.53,"Premium","H","SI1",62.1,59,18254,8.83,8.73,5.45
2.51,"Premium","I","SI2",62.3,57,18255,8.76,8.69,5.44
2.02,"Premium","F","SI2",61.3,59,18274,8.15,8.11,4.98
2.03,"Premium","D","SI2",62.4,59,18286,8.04,7.98,5
2.14,"Premium","E","SI2",61.5,58,18291,8.31,8.24,5.09
2.01,"Premium","H","SI1",61.4,56,18295,8.19,8.13,5.01
2.03,"Premium","E","SI2",61.5,59,18310,8.16,8.24,5.04
2.05,"Premium","H","VS2",61.8,60,18318,8.19,8.14,5.05
2.02,"Premium","F","SI2",61.7,58,18320,8.11,8.15,5.02
2.49,"Premium","I","SI2",61.2,56,18325,8.76,8.7,5.34
2.07,"Premium","I","VS2",61.2,58,18359,8.2,8.18,5.01
2.2,"Premium","I","VS2",62,57,18364,8.38,8.34,5.18
2,"Premium","H","SI1",63,56,18371,7.98,7.93,5.01
2,"Premium","H","SI1",58.2,60,18371,8.34,8.26,4.83
2.03,"Premium","G","SI1",61.3,59,18423,8.11,8.08,4.96
2.26,"Premium","H","SI1",60.3,58,18426,8.56,8.51,5.15
2.29,"Premium","J","IF",61.4,60,18426,8.45,8.49,5.2
2,"Premium","E","SI2",61.8,56,18426,8.12,8.05,5
2.22,"Premium","I","SI1",59.9,59,18432,8.46,8.41,5.05
2.06,"Premium","G","SI1",61.5,58,18439,8.2,8.15,5.03
2.09,"Premium","H","VS2",62.2,58,18443,8.17,8.12,5.06
2.5,"Premium","I","SI2",59,60,18447,8.76,8.89,5.21
2.08,"Premium","I","VS2",58.9,61,18447,8.36,8.35,4.92
2.03,"Premium","E","SI2",61.5,59,18477,8.24,8.16,5.04
2.16,"Premium","I","VS2",58.7,60,18481,8.54,8.5,5
2.57,"Premium","J","SI1",63,58,18485,8.77,8.65,5.49
2.02,"Premium","F","SI2",61.7,58,18487,8.15,8.11,5.02
2,"Premium","F","SI1",62.6,59,18493,8.1,8.04,5.05
2.38,"Premium","H","VS1",60.9,59,18522,8.62,8.59,5.24
3.04,"Premium","I","SI2",59.3,60,18559,9.51,9.46,5.62
2.38,"Premium","J","VS2",62.1,58,18559,8.54,8.49,5.29
2.09,"Premium","H","SI1",61.1,56,18559,8.3,8.23,5.05
2.11,"Premium","D","SI2",60.9,60,18575,8.28,8.21,5.02
2.29,"Premium","J","IF",61.4,60,18594,8.49,8.45,5.2
2.07,"Premium","F","SI2",60.7,59,18611,8.21,8.16,4.97
2.42,"Premium","J","VS2",61.3,59,18615,8.61,8.58,5.27
2.29,"Premium","I","VS2",60.8,60,18653,8.47,8.5,5.16
2.12,"Premium","H","SI1",61.1,60,18656,8.18,8.26,5.02
2.02,"Premium","F","SI2",62.1,56,18678,8.07,7.99,4.99
2.03,"Premium","G","VS2",59.6,60,18680,8.27,8.21,4.91
2.43,"Premium","J","VS2",62.2,57,18692,8.63,8.54,5.34
3.51,"Premium","J","VS2",62.5,59,18701,9.66,9.63,6.03
2.01,"Premium","G","SI2",61.2,57.2,18705,8.08,8.14,4.97
2.22,"Premium","J","VS1",60,60,18706,8.49,8.43,5.08
3.01,"Premium","J","SI2",60.7,59,18710,9.35,9.22,5.64
3.01,"Premium","J","SI2",59.7,58,18710,9.41,9.32,5.59
2.18,"Premium","F","SI1",61.2,60,18717,8.38,8.3,5.1
2.01,"Premium","G","SI1",60.3,59,18741,8.23,8.15,4.94
2.36,"Premium","H","SI2",59.4,58,18745,8.69,8.75,5.18
2.55,"Premium","I","VS1",61.8,62,18766,8.7,8.65,5.36
2.05,"Premium","F","SI2",60.2,59,18784,8.28,8.33,5
2.04,"Premium","H","SI1",58.1,60,18795,8.37,8.28,4.84
2,"Premium","I","VS1",60.8,59,18795,8.13,8.02,4.91
2.29,"Premium","I","SI1",61.8,59,18797,8.52,8.45,5.24
2.29,"Premium","I","VS2",60.8,60,18823,8.5,8.47,5.16
